230957	B两个放在绝缘架上的相同金属球，相距为d，球的半径比d小得多，分别带有q和3q的电荷量，相互斥力为3F．现将这两个金属球接触再分开，然后使两金属球相距2d．则它们的相互作用力将变为_A.0B.FC.3FD.4F	将两小球充分接触后，两球所带的电量平分，比较简单，直接代入库仑定律的公式．	库仑定律	解：开始时，根据库仑定律得：，将这两个金属球接触再分开，它们的电量：，使两金属球相距2d，故选项B正确．故选：B
230970	平行板电容器的电容为C，电荷量为Q，极板间的距离为d，在两极间的中点放一电荷量很小的点电荷q，它所受的电场力大小等于_A.8kqB.4kqC.2qD.q	平行板电容器极板间存在匀强电场，根据及E=求出电场强度，再根据F=Eq即可求解．	电势差	解：平行板电容器极板间存在匀强电场，根据及E=得：E=所以F=Eq=q故选D
230981	某同学带着家用弹簧测力计到电梯中做实验，把一物体挂在弹簧测力计下．当电梯静止时，测力计示数为F；当测力计示数为零时，电梯的运动状态是．_A.以加速度g匀加速上升B.以加速度g匀减速上升C.以加速度2g匀加速上升D.以加速度2g匀减速下降	当物体具有向下的加速度失重时，读数小；当物体具有向上的加速度超重时，读数大．	超重和失重的一般问题	解：当测力计示数为零时，是完全失重，具有向下的大小为g的加速度，电梯的运动状态可能是以加速度g匀减速上升或以加速度g匀加速下降，B正确．故选B
230986	子弹以初速度v0打入两块完全相同的木板，并恰好穿过这两块木板．假设子弹在木板中的运动是匀减速直线运动，则子弹穿越第一块木板后速度为_A.B.C.D.	子弹恰好穿过这两块木板，说明末速度为零，根据速度-位移公式列出方程，子弹从打入到穿越第一块木板的过程再用速度-位移公式列出方程，即可求解．	等距问题	解：设每块木板厚为L，则穿过2块木板：2a•2L=0-穿过第一块木板：2aL=解得：v=故选C．
231012	在离地H高处，一人水平抛出一个质量为m的物体，当落到离地h高处，物体的速度变为v，则物体被抛出时动能是_A.mv2+mghB.mv2+mgh-mgHC.mgH-mv2D.mv2-mgh+gH	物体被抛出后只有重力做功，机械能守恒，根据机械能守恒定律即可求解．	竖直上抛运动	解：以地面为零势能面，物体被抛出后只有重力做功，机械能守恒，根据机械能守恒定律得：EK+mgH=解得：EK=故选B
231046	物体在四个共点力作用下处于静止状态，现撤去一大小为10N，方向向东的力，其余各力保持不变，则物体所受的合力为_A.10N，向东B.10N，向西C.0ND.不能确定	物体受到4个力平衡，合力为零；任意三力的合力与第四个力等值、反向、共线．	力的合成与平行四边形定则	解：物体在四个共点力作用下处于静止状态，故加速度为零，合力为零；任意三力的合力与第四个力等值、反向、共线；故撤去一大小为10N，方向向东的力，其余各力保持不变，其合力大小为10N，方向向西；故选B．
231072	原子核与一粒子反应生成原子核，同时放出一个中子．由此可知_A.A=2，Z=1B.A=2，Z=2C.A=4，Z=2D.A=3，Z=2	解本题的关键是学会书写核反应方程，在核反应过程中，电荷数和质量数是守恒的，根据这两个守恒从而确定A和Z的数值．	核反应中的质量亏损和能量亏损	解：写出该反应的方程有：ZAX+94Be→126C+10n应用质量数与电荷数的守恒得：A+9=12+1，Z+4=6+0，解得A=4，Z=2，故C正确．故选C．
231131	一小球在地面上用弹簧秤测得示数为20N，在以10m/s2的加速度竖直上升的火箭里用弹簧秤测得示数为25N，则此时火箭离开地心的距离是地球直径的_A.4倍B.3倍C.2倍D.1倍	先对物体进行受力分析，由牛顿第二定律可以求出火箭所在位置处的重力加速度．再由万有引力定律等于重力，求出加速度与距离的关系，即可以求出此时火箭离开地心的距离是地球直径的比值．	牛顿第二定律的基本问题	解：在地面上物体受到的重力mg=20N，物体质量m=2kg；对物体由牛顿第二定律得：F-mg′=ma，解得g′=m/s2；在地球表面，在火箭中，上式除以下式，所以，即此时火箭离开地心的距离是地球直径的2倍．故选C．
231147	近年来，人类发射的多枚火星探测器已经相继在火星上着陆．某火星探测器绕火星做匀速圆周运动，它的轨道距火星表面的高度等于火星的半径，它的运动周期为T，则火星的平均密度ρ的表达式为（k为某个常数）_A.ρ=kTB.ρ=C.ρ=kT2D.ρ=	研究火星探测器绕火星做匀速圆周运动，根据万有引力提供向心力，列出等式求出中心体的质量．根据密度公式表示出密度．	黄金代换	解：研究火星探测器绕火星做匀速圆周运动，根据万有引力提供向心力，列出等式：=mM=，其中r为火星探测器的轨道半径，即r=2R（R为火星的半径）火星的平均密度ρ=故选D．
231180	均匀分布在地球赤道平面上空的三颗同步通信卫星能够实现除地球南北两极等少数地区外的“全球通信”．已知地球半径为R，地球表面的重力加速度为g，地球自转周期为T，同步卫星所在位置处的重力加速度为g′．下面列出的是关于卫星中任意两颗卫星间距离s的表达式，其中正确的是_A B C D 	了解同步卫星的含义，即同步卫星的周期必须与地球相同．通过万有引力提供向心力，列出等式通过已知量确定未知量．根据万有引力等于重力，代换GM．	黄金代换	解：根据万有引力提供向心力得：=mr，r为轨道半径r=根据地球表面处万有引力等于重力得：=mg，得：GM=gR2根据题意画出俯视三颗同步通信卫星的几何位置图象：根据几何关系得：L=r=．根据同步卫星处万有引力等于重力得：=mg′，r=由于GM=gR2r=R所以L=r=R故选BC．
231220	A两个放在绝缘架上的相同金属球，相距为d，球的半径比d小得多，分别带有-q和3q的电荷量，相互作用力为3F．现将这两个金属球接触再分开，然后放回原处．则它们的相互作用力将变为_A.0B.FC.D.4F	由库仑定律可得出两球在接触前后的库仑力表达式，则根据电量的变化可得出接触后的作用力与原来作用力的关系	库仑定律	解：由库仑定律可得：3F=k 而两球接触后再分开平分总电量，故分开后，若两球带的是同种电荷，则两球的带电量均为2q若两球带的是异种电荷，则两球的带电量均为q；带异种电荷，则库仑力F′=k =F；故选B．
